Date,Open,High,Low,Close,Adj Close,Volume
2019-08-06,0.789000,0.860000,0.640000,0.667000,0.667000,141500
2019-08-07,0.683000,0.727000,0.550000,0.597000,0.597000,169300
2019-08-08,0.608000,0.660000,0.580000,0.600000,0.600000,82200
2019-08-09,0.600000,0.639000,0.560000,0.630000,0.630000,48400
2019-08-12,0.548000,0.780000,0.548000,0.562000,0.562000,588700
2019-08-13,0.580000,1.060000,0.562000,1.019000,1.019000,1736800
2019-08-14,0.703000,0.820000,0.615000,0.659000,0.659000,549800
2019-08-15,0.670000,0.670000,0.530000,0.530000,0.530000,244100
2019-08-16,0.530000,0.588000,0.530000,0.580000,0.580000,213100
2019-08-19,0.598000,0.690000,0.530000,0.654000,0.654000,208900
2019-08-20,0.630000,0.650000,0.581000,0.595000,0.595000,46700
2019-08-21,0.585000,0.690000,0.570000,0.637000,0.637000,344200
2019-08-22,0.658000,0.768000,0.561000,0.640000,0.640000,520400
2019-08-23,0.630000,0.650000,0.553000,0.565000,0.565000,171700
2019-08-26,0.578000,0.599000,0.520000,0.574000,0.574000,229000
2019-08-27,0.600000,0.600000,0.525000,0.568000,0.568000,39300
2019-08-28,0.569000,0.569000,0.525000,0.550000,0.550000,55000
2019-08-29,0.513000,0.600000,0.501000,0.524000,0.524000,197600
2019-08-30,0.550000,0.590000,0.531000,0.572000,0.572000,95400
2019-09-03,0.550000,0.590000,0.500000,0.515000,0.515000,119100
2019-09-04,0.527000,0.550000,0.506000,0.520000,0.520000,61500
2019-09-05,0.520000,0.537000,0.510000,0.516000,0.516000,39500
2019-09-06,0.516000,0.520000,0.455000,0.455000,0.455000,80600
2019-09-09,0.432000,0.499000,0.432000,0.490000,0.490000,89500
2019-09-10,0.464000,0.550000,0.400000,0.500000,0.500000,154800
2019-09-11,0.525000,0.640000,0.500000,0.527000,0.527000,421100
2019-09-12,0.550000,0.580000,0.533000,0.550000,0.550000,145900
2019-09-13,0.569000,0.569000,0.530000,0.540000,0.540000,53100
2019-09-16,0.530000,0.553000,0.505000,0.544000,0.544000,66400
2019-09-17,0.560000,0.639000,0.512000,0.599000,0.599000,309200
2019-09-18,0.600000,0.600000,0.540000,0.558000,0.558000,74500
2019-09-19,0.560000,0.567000,0.513000,0.520000,0.520000,57100
2019-09-20,0.505000,0.566000,0.505000,0.540000,0.540000,44400
2019-09-23,0.567000,0.580000,0.510000,0.540000,0.540000,26300
2019-09-24,0.520000,0.539000,0.460000,0.524000,0.524000,109900
2019-09-25,0.490000,0.539000,0.470000,0.475000,0.475000,58300
2019-09-26,0.483000,0.550000,0.480000,0.503000,0.503000,355500
2019-09-27,0.540000,0.540000,0.461000,0.482000,0.482000,89200
2019-09-30,0.450000,0.505000,0.420000,0.494000,0.494000,182400
2019-10-01,0.500000,0.519000,0.470000,0.505000,0.505000,101600
2019-10-02,0.500000,0.500000,0.450000,0.470000,0.470000,46900
2019-10-03,0.460000,0.500000,0.430000,0.451000,0.451000,80500
2019-10-04,0.480000,0.483000,0.430000,0.469000,0.469000,34500
2019-10-07,0.465000,0.480000,0.440000,0.454000,0.454000,29100
2019-10-08,0.454000,0.470000,0.432000,0.470000,0.470000,63200
2019-10-09,0.473000,0.473000,0.422000,0.440000,0.440000,29200
2019-10-10,0.440000,0.443000,0.420000,0.420000,0.420000,79600
