Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-09-14,13.079999923706055,13.4399995803833,12.600000381469727,12.720000267028809,66350,0.0,0.0
2018-09-17,13.199999809265137,13.199999809265137,12.479999542236328,12.600000381469727,68500,0.0,0.0
2018-09-18,12.960000038146973,12.960000038146973,12.359999656677246,12.84000015258789,93567,0.0,0.0
2018-09-19,12.960000038146973,13.319999694824219,12.720000267028809,12.84000015258789,87300,0.0,0.0
2018-09-20,13.199999809265137,13.4399995803833,12.84000015258789,13.319999694824219,118425,0.0,0.0
2018-09-21,13.319999694824219,13.4399995803833,12.960000038146973,12.960000038146973,86667,0.0,0.0
2018-09-24,13.199999809265137,13.199999809265137,12.720000267028809,12.84000015258789,77858,0.0,0.0
2018-09-25,12.84000015258789,13.680000305175781,12.84000015258789,13.5600004196167,122550,0.0,0.0
2018-09-26,13.5600004196167,13.680000305175781,13.199999809265137,13.199999809265137,48825,0.0,0.0
2018-09-27,13.319999694824219,13.4399995803833,12.720000267028809,13.079999923706055,70800,0.0,0.0
2018-09-28,12.84000015258789,13.199999809265137,12.720000267028809,12.84000015258789,74117,0.0,0.0
2018-10-01,12.84000015258789,13.4399995803833,12.720000267028809,13.199999809265137,69408,0.0,0.0
2018-10-02,13.079999923706055,13.079999923706055,12.720000267028809,12.720000267028809,75758,0.0,0.0
2018-10-03,12.720000267028809,13.199999809265137,12.600000381469727,13.079999923706055,57792,0.0,0.0
2018-10-04,13.079999923706055,13.079999923706055,12.720000267028809,12.84000015258789,64767,0.0,0.0
2018-10-05,12.84000015258789,12.960000038146973,12.359999656677246,12.479999542236328,109683,0.0,0.0
2018-10-08,12.359999656677246,12.720000267028809,12.0,12.359999656677246,40917,0.0,0.0
2018-10-09,12.359999656677246,12.600000381469727,12.239999771118164,12.479999542236328,44592,0.0,0.0
2018-10-10,12.359999656677246,12.479999542236328,11.760000228881836,11.880000114440918,126050,0.0,0.0
2018-10-11,11.640000343322754,11.760000228881836,11.520000457763672,11.520000457763672,73550,0.0,0.0
2018-10-12,11.640000343322754,11.760000228881836,11.399999618530273,11.520000457763672,68225,0.0,0.0
2018-10-15,11.520000457763672,12.720000267028809,11.520000457763672,12.0,62958,0.0,0.0
2018-10-16,12.479999542236328,12.479999542236328,11.520000457763672,11.880000114440918,82658,0.0,0.0
2018-10-17,11.640000343322754,12.239999771118164,11.640000343322754,11.880000114440918,30417,0.0,0.0
2018-10-18,11.760000228881836,12.0,11.399999618530273,11.640000343322754,46217,0.0,0.0
2018-10-19,12.0,12.0,11.399999618530273,11.399999618530273,54433,0.0,0.0
2018-10-22,11.520000457763672,11.520000457763672,10.319999694824219,10.5600004196167,123458,0.0,0.0
2018-10-23,10.4399995803833,10.5600004196167,9.600000381469727,9.960000038146973,137125,0.0,0.0
2018-10-24,10.199999809265137,10.199999809265137,9.359999656677246,9.479999542236328,100108,0.0,0.0
2018-10-25,9.359999656677246,10.920000076293945,8.640000343322754,10.4399995803833,217917,0.0,0.0
2018-10-26,10.199999809265137,10.680000305175781,9.600000381469727,10.199999809265137,69550,0.0,0.0
2018-10-29,10.4399995803833,10.5600004196167,9.84000015258789,10.079999923706055,26883,0.0,0.0
2018-10-30,9.720000267028809,10.5600004196167,9.600000381469727,10.5600004196167,55175,0.0,0.0
2018-10-31,10.5600004196167,10.800000190734863,9.960000038146973,10.199999809265137,64033,0.0,0.0
2018-11-01,10.5600004196167,10.800000190734863,10.079999923706055,10.680000305175781,78033,0.0,0.0
2018-11-02,10.680000305175781,10.800000190734863,10.199999809265137,10.4399995803833,43567,0.0,0.0
